trade_date,day_index,strategy_nav,benchmark_nav,position,target_position,traded_notional,strategy_nav_norm,benchmark_nav_norm,excess_nav,drawdown,strategy_daily_return,benchmark_daily_return,daily_excess_return,turnover_ratio
2024-06-03,583,115200.22275,111960.99636971606,0.4232370288537485,0.4588717371225357,57282.0,0.5674453458954194,0.5598049818485803,0.013648260188055428,-0.43470140057045337,0.005405624452920366,0.007947609144246082,-0.002541984691325716,0.4999265071291903
2024-06-04,584,113962.37174999999,113446.28985843461,0.24271169137018248,0.4590441584587097,58487.0,0.5613480244485127,0.5672314492921731,-0.01037217673844082,-0.44077565476804326,-0.010745213598122194,0.013266168905945008,-0.024011382504067202,0.5076986710948005
2024-06-05,585,112945.72975,112828.29547723665,0.22648045266182362,0.4593581408262253,17827.0,0.5563403191023718,0.5641414773861833,-0.013828372130970212,-0.44576441507598497,-0.008920856809036981,-0.005447462248162838,-0.0034733945608741434,0.1564288258154824
2024-06-06,586,113151.84975,112022.11953322898,0.31423260051477864,0.4596088081598282,9760.0,0.557355610843168,0.5601105976661449,-0.004918647914280427,-0.44475296436405987,0.0018249472596816307,-0.007145157520972334,0.008970104780653965,0.08641318287644248
2024-06-07,587,111630.58625,109598.94577465285,0.3275804708048821,0.4598518908023834,2527.0,0.5498622755669949,0.5479947288732643,0.0034079647035483163,-0.4522179510228057,-0.013444442166532067,-0.021631207913874073,0.008186765747342006,0.022332820944449477
2024-06-11,588,112180.67324999999,109982.41009132168,0.3511745727555616,0.46002382040023804,21966.0,0.552571856334603,0.5499120504566084,0.00483678412900046,-0.4495186210801958,0.004927744433484094,0.0034987956677730025,0.001428948765711091,0.1967740270646478
2024-06-12,589,112054.56274999998,109497.30151663351,0.3421279692602255,0.4599619209766388,38487.0,0.5519506698942882,0.5474865075831675,0.008153922058878438,-0.45013745746194544,-0.0011241731427209523,-0.0044107832723920826,0.0032866101296711303,0.34308048690552856
2024-06-13,590,112350.60474999998,109397.17718425467,0.30600636353049987,0.45939697325229645,15852.0,0.5534088932473291,0.5469858859212734,0.011742546729953673,-0.4486847508266858,0.0026419450733166094,-0.0009143999988312501,0.0035563450721478596,0.141466796272872
2024-06-14,591,112897.73074999999,110232.26863670361,0.3324690385771992,0.45909129083156586,14028.0,0.5561038889244827,0.5511613431835181,0.008967511604526468,-0.4459999507965444,0.004869809123123625,0.007633574045904368,-0.0027637649227807426,0.12485914100075195
2024-06-17,592,115467.12524999997,111144.90091100158,0.3529402841870787,0.4593500941991806,42338.0,0.5687600359005031,0.5557245045550079,0.023456823009691208,-0.4333916842710184,0.022758601815386692,0.00827917528673705,0.014479426528649642,0.3750119663056204
2024-06-18,593,115720.22524999996,111463.15611020876,0.3361815094634895,0.4594404995441437,41815.0,0.5700067384989677,0.5573157805510438,0.022771574735199085,-0.4321496981697752,0.002191965890308678,0.0028634260015403257,-0.0006714601112316476,0.3621377072432139
2024-06-19,594,115374.32474999996,110055.8834198573,0.2854967955077892,0.45985087752342224,33979.0,0.568302925570638,0.5502794170992865,0.032753375669327456,-0.43384706527136774,-0.002989110151252472,-0.012625451669070142,0.00963634151781767,0.29363060715265943
